Long,Lat,scientificName
-79.157181,35.614684,Suillus spraguei
-80.397599,37.392842,Suillus spraguei
-80.574823,37.367825,Suillus spraguei
-82.609,35.494,Suillus spraguei
-74.150792,44.36347,Suillus spraguei
-73.76728,44.29972,Suillus spraguei
-83.564604,35.2085,Suillus spraguei
-55.540332,48.970635,Suillus spraguei
-85.029253,46.556409,Suillus pictus
-84.198845,46.424362,Suillus pictus
-106.596058,39.287697,Suillus pictus
-84.626191,45.866092,Suillus pictus
-77.558323,39.844259,Suillus pictus
-72.424531,42.575087,Suillus pictus
-77.860001,40.793395,Suillus pictus
-73.585423,42.900768,Suillus pictus
-75.268515,41.194796,Suillus pictus
-85.177431,46.607241,Suillus pictus
-75.268515,41.194796,Suillus pictus
-119.360705,37.87027,Suillus pictus
-73.375666,43.230631,Suillus pictus
-121.304031,39.766789,Suillus pictus
-73.448892,40.859803,Suillus pictus
-68.217807,44.38991,Suillus pictus
-77.994934,43.098251,Suillus pictus
-68.217807,44.38991,Suillus pictus
-73.925684,42.468692,Suillus pictus
-82.441527,36.097886,Suillus pictus
-73.925684,42.468692,Suillus pictus
-75.797998,42.894082,Suillus pictus
-82.522864,35.52409,Suillus pictus
-70.730046,42.611206,Suillus pictus
-72.529348,42.490802,Suillus pictus
-81.677606,36.135129,Suillus pictus
-71.89508,43.114802,Suillus pictus
-95.350912,29.802617,Suillus pictus
-73.979871,44.279491,Suillus pictus
-73.450227,40.860191,Suillus pictus
-74.151532,40.554272,Suillus pictus
-74.499888,44.000338,Suillus pictus
-77.558323,39.844259,Suillus pictus
-77.91639,40.659788,Suillus pictus
-76.909618,42.979936,Suillus pictus
-73.375666,43.230631,Suillus pictus
-76.482996,42.447017,Suillus pictus
-78.010046,43.099391,Suillus pictus
-77.638609,40.921175,Suillus pictus
-85.208439,46.596406,Suillus pictus
-72.292582,40.997877,Suillus pictus
-73.925684,42.468692,Suillus pictus
-76.071589,42.992011,Suillus pictus
-73.585394,42.900077,Suillus pictus
-75.265737,41.187868,Suillus pictus
-73.2261,41.8319,Suillus pictus
-73.960138,41.720927,Suillus pictus
-77.539445,39.844258,Suillus pictus
-84.998352,35.950388,Suillus pictus
-77.819951,40.919342,Suillus pictus
-79.163929,41.323674,Suillus pictus
-77.860001,40.793395,Suillus pictus
-76.602172,41.48702,Suillus pictus
-72.655926,42.985636,Suillus pictus
-77.753608,40.6934,Suillus pictus
-83.16194444,35.04444444,Suillus pictus 
-83.19222222,35.03638889,Suillus pictus
-68.61555556,44.94527778,Suillus pictus
-84.7,34.76666667,Suillus pictus
-83.23916667,35.06805556,Suillus pictus
-83.23916667,35.06805556,Suillus pictus
-73.64388889,43.30944444,Suillus pictus
-83.77055556,35.60555556,Suillus pictus
-83.10611111,35.75944444,Suillus pictus
-83.11666667,35.76944444,Suillus pictus
-83.73083333,35.6275,Suillus pictus
-83.84416667,35.56138889,Suillus pictus
-81.01637624,37.52572975,Suillus pictus
-80.35913279,37.73973478,Suillus pictus
-80.97757199,37.51565151,Suillus pictus
-80.35490738,37.61569843,Suillus pictus
-81.07978063,37.75252744,Suillus pictus
-81.11344513,39.22662479,Suillus pictus
-78.10794759,39.63211968,Suillus pictus
-78.92184033,38.89482549,Suillus pictus
-80.07810537,38.64643997,Suillus pictus
-79.87580224,39.10827687,Suillus pictus
-80.956004,37.99489,Suillus pictus
-71.768188,42.848156,Suillus pictus
-75.64389,43.27972,Suillus pictus
-84.6759224,45.5410744,Suillus pictus
-84.4361,45.7667,Suillus pictus
-84.2108917,46.4203458,Suillus pictus
-84.6759224,45.5410744,Suillus pictus
-84.4572,45.4853,Suillus pictus
-84.6759224,45.5410744,Suillus pictus
-86.0549,44.2229,Suillus pictus
-82.482239,35.593581,Suillus pictus
-82.779116,35.352408,Suillus pictus
-83.189195,35.053639,Suillus pictus
-77.755682,40.694682,Suillus pictus
-80.41417,37.22944,Suillus pictus
-80.333146,37.315772,Suillus pictus
-72.255886,42.487879,Suillus pictus
-72.537588,42.488144,Suillus pictus
-70.730046,42.611206,Suillus pictus
-83.816456,35.598244,Suillus pictus
-83.163103,35.042743,Suillus pictus
-85.200886,46.562897,Suillus pictus
-72.537588,42.488144,Suillus pictus
-84.6775532,45.5587005,Suillus pictus
-84.7814941,45.778778,Suillus pictus
-85.200886,46.562897,Suillus pictus
-85.327317,46.700873,Suillus pictus
-83.815793,35.596907,Suillus pictus
-72.414629,42.588322,Suillus pictus
-84.682284,45.552559,Suillus pictus
-72.485717,42.483438,Suillus pictus
-84.283763,45.187954,Suillus pictus
-84.9054337,45.744527,Suillus pictus
-85.200886,46.562897,Suillus pictus
-84.676051,45.535984,Suillus pictus
-72.537588,42.488144,Suillus pictus
-85.200886,46.562897,Suillus pictus
-84.141052,45.010548,Suillus pictus
-84.662028,45.567315,Suillus pictus
-84.970073,45.661107,Suillus pictus
-87.950592,46.890896,Suillus pictus
-77.753608,40.6934,Suillus pictus
-72.485717,42.483438,Suillus pictus
-83.188642,35.053822,Suillus pictus
-73.742898,42.64258,Suillus pictus
-71.396725,42.083431,Suillus pictus
-70.70783,43.083422,Suillus pictus
-68.649428,45.400512,Suillus pictus
-71.074798,44.401172,Suillus pictus
-71.209221,42.337041,Suillus pictus
-76.496607,42.440628,Suillus pictus
